candidate,reference,metric,paired_cells,mean_delta,q025,q975,p_delta_gt_zero
QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,NO_AUG,measurement_macro_f1,15,0.014912414580834846,-0.04054071412850621,0.07783792800644576,0.6735
QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,NO_AUG,measurement_balanced_accuracy,15,0.008888888888888894,-0.03778472222222221,0.054722222222222214,0.6575
QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,NO_AUG,bearing_macro_f1,15,0.0,-0.07777777777777777,0.07777777777777777,0.3695
QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,NO_AUG,bearing_accuracy,15,0.0,-0.06666666666666667,0.06666666666666667,0.3575
QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,UNIFORM_DIFFUSION,measurement_macro_f1,15,-0.0030055057280935567,-0.0490633207922905,0.05379721026093155,0.418
QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,UNIFORM_DIFFUSION,measurement_balanced_accuracy,15,-0.006388888888888881,-0.05111805555555555,0.041666666666666664,0.369
QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,UNIFORM_DIFFUSION,bearing_macro_f1,15,-0.022222222222222216,-0.09999999999999999,0.07777777777777777,0.294
QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,UNIFORM_DIFFUSION,bearing_accuracy,15,-0.02222222222222222,-0.08888888888888888,0.04444444444444444,0.182
