method,cells,measurement_macro_f1_mean,measurement_balanced_accuracy_mean,bearing_macro_f1_mean,bearing_accuracy_mean,measurement_macro_f1_std,measurement_balanced_accuracy_std,bearing_macro_f1_std,bearing_accuracy_std
NO_AUG,15,0.5129039974588155,0.5861111111111111,0.4518518518518518,0.5555555555555556,0.14080732432121387,0.13901284151408497,0.15834609620889703,0.16265001215808886
UNIFORM_DIFFUSION,15,0.5308219177677439,0.601388888888889,0.474074074074074,0.5777777777777777,0.14828836450085173,0.14027384875842913,0.1467860665183419,0.15257923607235452
QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,15,0.5278164120396504,0.5950000000000002,0.4518518518518518,0.5555555555555556,0.14025959767253468,0.13606028367474024,0.15834609620889703,0.16265001215808886
