seed,fold,method,protocol_sha256,measurement_macro_f1,measurement_balanced_accuracy,measurement_accuracy,bearing_macro_f1,bearing_accuracy,D_reliability_spearman,D_reliability_jaccard,budget_error,training_seconds,peak_gpu_mib
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3796296296296296,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.832659055223994,0.6099476439790575,0.0,46.361751000004006,532.5068359375
7,0,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3796296296296296,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.832659055223994,0.6099476439790575,0.0,45.263377299997956,532.5068359375
7,0,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3796296296296296,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.832659055223994,0.6099476439790575,0.0,44.28728509999928,532.5068359375
7,1,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3111111111111111,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.8542025700929365,0.64,1.862645149230957e-09,44.23765340000682,532.5068359375
7,1,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3111111111111111,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.8542025700929365,0.64,1.862645149230957e-09,42.20436219999101,532.5068359375
7,1,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.6382658829815259,0.6625,0.6625,0.5555555555555555,0.6666666666666666,0.8542025700929365,0.64,1.862645149230957e-09,42.37929370001075,532.5068359375
7,2,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7090909090909091,0.75,0.75,0.5555555555555555,0.6666666666666666,0.9166080573398386,0.7178770949720671,1.862645149230957e-09,42.4653840999963,532.5068359375
7,2,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7090909090909091,0.75,0.75,0.5555555555555555,0.6666666666666666,0.9166080573398386,0.7178770949720671,1.862645149230957e-09,42.49598400000832,532.5068359375
7,2,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7090909090909091,0.75,0.75,0.5555555555555555,0.6666666666666666,0.9166080573398386,0.7178770949720671,1.862645149230957e-09,42.59226679999847,532.5068359375
7,3,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.6088888888888889,0.6333333333333333,0.6333333333333333,0.5555555555555555,0.6666666666666666,0.9910589336968363,0.8894009216589862,0.0,42.71903999999631,532.5068359375
